TweetText,SentBy,SenderLocation,SendDate
@idiot_salad @zackvoell What are your met gains so far in a percentage to protect your actual numbers?,Kadeo79,"Denver, CO",12/9/20 0:02
"@_FlVE_ Well gotta look after my boyfriend *small smile before turning to your siblings* salad is self serve, fix i… https://t.co/xG8qGjhjpc",HeadHuntress_,,12/9/20 0:02
RT @ChrisSc31745429: @geezerbutler Can they cure Rat Salad poisoning?,UnderTheSunBS,"Los Angeles, CA",12/9/20 0:01
Another winning dip from ⁦@EmilyRNunn⁩’s #DepartmentofSalad newsletter. Olives and cream cheese. Nice partner to sa… https://t.co/RCU3iorrhQ,YukariSakamoto,Tokyo & Lake Wobegon,12/9/20 0:01
"RT @nickwhite314: Bruh I just saw the dumbest shit happen in subway, this dude asked if his salad comes with lettuce 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 oh my…",Trap__Gold,"St. Louis, USA",12/9/20 0:01
"Here are a couple of photos of tonight’s dinner—chicken, french fries with Heinz ketchup, and a salad.  Delicious d… https://t.co/bnTqLzrlZU",arb100sf,"Rye, New York",12/9/20 0:01
@goldenjjko its ok dw! jus wanted to be sure we were on the same page,Salad________,He/Him - 17,12/9/20 0:01
"@kimav12 @EvanAKilgore Admittedly i have only spent a couple years in Texas.

It has much to offer, but mountains ain't it. (-:",idiot_salad,Communist Occupied USA,12/9/20 0:01
"I did cream yam, grilled fish, fried plantain and broccoli salad .. I winning money tomorrow for sure",jyarisasensei,Barbados,12/9/20 0:01
I had some fresh dill leftover and made a deviled egg salad. We had it for lunch today with some sourdough bread.… https://t.co/uV363j7Nqc,DavidDRobbins,"Madison, WI",12/9/20 0:01
Citrus fruits are plentiful during winter. 🍊 Fruits like oranges &amp; grapefruit provide a burst of vitamin C which he… https://t.co/DfGreH4gPb,PoeCenter,"Raleigh, NC",12/9/20 0:01
Me when I ate a salad for dinner hehehe https://t.co/NxEut7D5qO,oohthatmariah,the stars,12/9/20 0:01
@dangjones @GarymBetz @kylenabecker Word salad,shrikeworship,,12/9/20 0:01
@garfield_salad wait this is honestly so cool!!!!!,greenteabelle,♡she/her | 17♡,12/9/20 0:01
"@TEUMOMS1 I love FRUIT SALAD
@treasuremembers 
#TREASURE",treasure0807_12,Republic of the Philippines,12/9/20 0:01
"RT @mishyloan: @YaThinkN @PatsKarvelas spoke to a rep from the meat industry. She asked about Morrison's response to China, he served word…",sacarlin48,Gold Coast,12/9/20 0:01
@idiot_salad Wow.. what an increase I have about 2k rds... really low recoil like you said. Really fun to shoot,lobster_llc,Maine,12/9/20 0:01
"Whole30 Avocado Egg Salad Recipe plus 25 more of the most pinned Whole30 recipes

https://t.co/ol9GJVZPpF https://t.co/cbtQJFfDVQ",womaneasy,United States,12/9/20 0:01
